invoice_no;products
LS34818;"1x Dal Makhani (Vegetariano).: 1x Dal Makhani (Vegetariano), 1x Naan de Ajo.; 
1x Curry de Mango (Vegetariano).: 1x Curry de Mango (Vegetariano), 1x Naan de Ajo.; 
"
LS34751;"1x Menú.: 1x Naan., 1x Nestea, lata 0.33l., 1x Pakora (vegano), 1x Lassi de Mango., 1x Pollo Makhani ""Butter Chicken""; 
"
LS34729;"1x Pollo Bhuna.: 1x Pollo Bhuna , 1x Arroz Basmati Vegano.; 
1x Pollo Tikka Masala. : 1x Butter Naan., 1x Pollo Tikka Masala; 
1x Pollo Madrás.: 1x Pollo Madras , 1x Arroz Basmati Vegano.; 
1x Pakora (vegano).: 1x Sin Salsa Extra, 1x Pakora (vegano); 
"
LS34725;"1x Menú.: 1x Pollo Makhani ""Butter Chicken"", 1x Naan., 1x Coca-Cola Zero, lata 0.33l., 1x Sin Postre , 1x Pappad (vegano); 
1x Menú.: 1x Sin Postre , 1x Pollo Tikka Masala, 1x Naan de Queso., 1x Coca-Cola Zero, lata 0.33l., 1x Samosa 1 unida"
LS34721;"1x Menú.: 1x Sin Postre , 1x Cerveza Moritz, lata 0,33l., 1x Naan de Ajo., 1x Pappad (vegano), 1x Pollo Madras ; 
"
LS34471;"2x Samosa 1 Unidad.: 1x Salsa de Mango, 1x Samosa 1 unidad (vegano); 
1x Pakora (vegano).: 1x Pakora (vegano), 1x Salsa de Menta; 
1x Arroz Basmati Vegano.; 
2x Pollo Korma.: 1x Naan., 1x Pollo Korma; 
"
LS34711;"1x Menú Tandoor.: 1x Sin Postre , 1x Coca-Cola Zero, lata 0.33l., 1x Naan., 1x Samosa 1 unidad (vegano), 1x Pollo Tandoori; 
1x Menú.: 1x Fanta Naranja, lata 0.33l., 1x Arroz Basmati Vegano., 1x Paneer Makhani (Vegetariano), 1x Samosa 1 unid"
LS34675;"1x PACK PARA 2: 1x Fanta Naranja, lata 0.33l., 2x Pollo Madrás*, 1x Pakoras*, 1x Arroz Basmati Vegano., 2x Naan de Queso., 1x Nestea, lata 0.33l.; 
1x Arroz Basmati Vegano.; 
"
LS34674;"1x Butter Naan.; 
1x Pappad (vegano).: 1x Sin Salsa Extra, 1x Pappad (vegano); 
1x Arroz Basmati Vegano.; 
"
LS34670;"1x Tandoori Roti (Vegano).; 
1x Pollo Madrás.: 1x Arroz Basmati Vegano., 1x Pollo Madras ; 
1x Korma de Verduras (Vegano).: 1x Korma de Verduras (Vegano), 1x Arroz Basmati Vegano.; 
"
LS34634;"1x Arroz al Limón Vegano.; 
1x Pollo Makhani ""Butter Chicken"".: 1x Naan de Ajo., 1x Pollo Makhani ""Butter Chicken""; 
1x Pakora (vegano).: 1x Sin Salsa Extra, 1x Pakora (vegano); 
"
LS34625;"2x Pollo Tikka Masala. : 1x Naan., 1x Pollo Tikka Masala; 
"
LS34559;"1x PACK PARA 2: 1x Sprite, lata 0,33l, 1x Samosa 1 unidad*, 1x Naan de Ajo., 1x Pollo Jalfrezi*, 1x Pollo Tikka Masala*, 1x Naan., 1x Arroz Basmati Vegano., 1x Fanta Naranja, lata 0.33l.; 
"
LS34545;"1x Seekh Kebab de Cordero.: 1x Seekh Kebab de Cordero, 1x Sin Pan/Arroz; 
1x Pollo Mango.: 1x Pollo Mango, 1x Sin Pan/Arroz; 
1x PACK PARA 3: 1x Naan., 1x Naan de Ajo., 2x Pollo Tikka Masala*, 1x Coca-Cola Zero, lata 0.33l., 2x Nestea, lata 0.33l., 2x Arr"
LS34477;"1x Pollo Tandoori.: 1x Pollo Tandoori, 1x Sin Pan/Arroz; 
1x Menú.: 1x Samosa 1 unidad (vegano), 1x Coca-Cola Zero, lata 0.33l., 1x Curry de Pollo, 1x Tandoori Roti (Vegano)., 1x Sin Postre ; 
"
LS34448;"1x Menú.: 1x Pollo Makhani ""Butter Chicken"", 1x Naan de Queso., 1x Cerveza Moritz, lata 0,33l., 1x Pappad (vegano), 1x Sin Postre ; 
1x Arroz Basmati Vegano.; 
1x Menú.: 1x Naan de Ajo., 1x Cerveza Moritz, lata 0,33l., 1x Samosa 1 unidad (ve"
LS34456;"1x Ensalada India (Vegana); 
1x Naan de Ajo.; 
1x Samosa 1 Unidad.: 1x Samosa 1 unidad (vegano), 1x Salsa de Menta; 
1x Curry de Pollo.: 1x Arroz Basmati Vegano., 1x Curry de Pollo; 
"
LS34442;"1x Arroz Basmati Vegano.; 
1x Menú.: 1x Sin Postre , 1x Naan de Ajo., 1x Pappad (vegano), 1x Coca-Cola, lata 0.33l., 1x Pollo Tikka Masala; 
"
LS34441;"1x Arroz Basmati Vegano.; 
1x Pollo Makhani ""Butter Chicken"".: 1x Paneer Naan., 1x Pollo Makhani ""Butter Chicken""; 
1x Palak Paneer (Vegetariano).: 1x Naan de Ajo., 1x Palak Paneer (Vegetariano); 
"
LS34435;"1x Menú.: 1x Vino Tinto Aïura (ecológico) lata de 25cl., 1x Pollo Korma, 1x Samosa 1 unidad (vegano), 1x Lassi de Mango., 1x Arroz Basmati Vegano.; 
1x Naan.; 
"
